stat,mbti,enneagram,role,movie,img_url
30 / 16  ,ESFP,7w6,Yolanda (Honey Bunny),   Pulp Fiction (1994),https://www.personality-database.com/profile_images/41533.png?=undefined
30 / 4  ,ESFP,6w7,Salacious B. Crumb,   Star Wars,https://www.personality-database.com/profile_images/9709.png?=undefined
30 / 12  ,ESFP,7w8,Leslie Chow,   The Hangover Trilogy,https://www.personality-database.com/profile_images/27554.png?=undefined
30 / 4  ,ESFP,6w7,Salacious B. Crumb,   Star Wars,https://www.personality-database.com/profile_images/9709.png?=undefined
30 / 16  ,ESFP,7w6,Yolanda (Honey Bunny),   Pulp Fiction (1994),https://www.personality-database.com/profile_images/41533.png?=undefined
30 / 9  ,ESFP,7w8,Eep,   The Croods (2013),https://www.personality-database.com/profile_images/22698.png?=undefined
29 / 11  ,ESFP,8w7,Recep İvedik,   Recep İvedik,https://www.personality-database.com/profile_images/109404.png?=undefined
29 / 10  ,ESFP,7w8,Jay,   Descendants,https://www.personality-database.com/profile_images/43205.png?=undefined
29 / 8  ,ESFP,7w6,Nigel,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/3077.png?=undefined
27 / 7  ,ESFP,7w6,Squirt,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/24849.png?=undefined
27 / 6  ,ESFP,3w4,Félicie,   Leap! / Ballerina (2016),https://www.personality-database.com/images/profile_transparent.png
27 / 12  ,ESFP,7w8,Tree Gelbman,   Happy Death Day,https://www.personality-database.com/profile_images/111047.png?=undefined
27 / 7  ,ESFP,7w6,Squirt,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/24849.png?=undefined
26 / 6  ,ESFP,7w6,Joyce,   Edward Scissorhands (1990),https://www.personality-database.com/profile_images/24332.png?=undefined
26 / 10  ,ESFP,7w8,Tonya Harding,"   I, Tonya (2017)",https://www.personality-database.com/profile_images/86720.png?=undefined
26 / 10  ,ESFP,3w4,Danny,   Grease (1978),https://www.personality-database.com/profile_images/27175.png?=undefined
26 / 4  ,ESFP,7w8,Nux,   Mad Max,https://www.personality-database.com/profile_images/29380.png?=undefined
26 / 15  ,ESFP,6w7,Emile,   Ratatouille (2007),https://www.personality-database.com/profile_images/118320.png?=undefined
26 / 9  ,ESFP,3w4,Envy Adams,   Scott Pilgrim vs. the World (2010),https://www.personality-database.com/profile_images/25335.png?=undefined
26 / 16  ,ESFP,7w6,Uncle Rico,   Napoleon Dynamite (2004),https://www.personality-database.com/profile_images/19348.png?=undefined
25 / 9  ,ESFP,8w7,Chel,   The Road to El Dorado (2000),https://www.personality-database.com/profile_images/9544.png?=undefined
25 / 6  ,ESFP,7w6,Simba,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
25 / 10  ,ESFP,7w8,Megan Stewart,   Megan Is Missing (2011),https://www.personality-database.com/profile_images/219679.png?=undefined
25 / 9  ,ESFP,8w7,Chel,   The Road to El Dorado (2000),https://www.personality-database.com/profile_images/9544.png?=undefined
25 / 10  ,ESFP,6w7,Iris,   Taxi Driver (1976),https://www.personality-database.com/profile_images/24178.png?=undefined
25 / 6  ,ESFP,7w6,Simba,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
24 / 5  ,ESFP,7w6,Gabe Wilson,   Us (2019),https://www.personality-database.com/profile_images/31579.png?=undefined
24 / 8  ,ESFP,2w3,Winifred Banks,   Mary Poppins (1964),https://www.personality-database.com/profile_images/36741.png?=undefined
24 / 7  ,ESFP,7w8,Carl Showalter,   Fargo (1996),https://www.personality-database.com/profile_images/77241.png?=undefined
24 / 7  ,ESFP,7w6,Little John,   Robin Hood (1973),https://www.personality-database.com/profile_images/21550.png?=undefined
24 / 10  ,ESFP,8w7,Lilly Moscovitz,   The Princess Diaries,https://www.personality-database.com/profile_images/59911.png?=undefined
24 / 10  ,ESFP,4w3,Oompa Loompas,   Charlie and the Chocolate Factory (2005),https://www.personality-database.com/profile_images/77041.png?=undefined
24 / 5  ,ESFP,7w6,Gabe Wilson,   Us (2019),https://www.personality-database.com/profile_images/31579.png?=undefined
23 / 4  ,ESFP,7w6,Meredith Quill,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/17424.png?=undefined
23 / 12  ,ESFP,3w2,Other Spink,   Coraline (2009),https://www.personality-database.com/profile_images/7249.png?=undefined
23 / 7  ,ESFP,6w7,King of Hearts,   Alice in Wonderland (1951),https://www.personality-database.com/profile_images/37085.png?=undefined
23 / 6  ,ESFP,7w6,Chuck,   The Angry Birds Movie (2016),https://www.personality-database.com/profile_images/16563.png?=undefined
23 / 9  ,ESFP,7w8,Donnie Azoff,   The Wolf of Wall Street (2013),https://www.personality-database.com/images/profile_transparent.png
23 / 10  ,ESFP,7w6,Ruby Rhod,   The Fifth Element (1997),https://www.personality-database.com/profile_images/27780.png?=undefined
23 / 5  ,ESFP,7w6,Tyrone C. Love,   Requiem for a Dream (2000),https://www.personality-database.com/profile_images/27070.png?=undefined
23 / 11  ,ESFP,3w2,Other Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7250.png?=undefined
22 / 5  ,ESFP,7w8,Sarah Sanderson,   Hocus Pocus (1993),https://www.personality-database.com/profile_images/24330.png?=undefined
22 / 6  ,ESFP,7w6,Paris,   Troy (2004),https://www.personality-database.com/profile_images/42855.png?=undefined
22 / 9  ,ESFP,7w6,Manny Ribera,   Scarface (1983),https://www.personality-database.com/profile_images/22842.png?=undefined
22 / 5  ,ESFP,7w8,Sarah Sanderson,   Hocus Pocus (1993),https://www.personality-database.com/profile_images/24330.png?=undefined
21 / 8  ,ESFP,7w6,Admiral-General Haffaz Aladeen,   The Dictator (2012),https://www.personality-database.com/profile_images/59218.png?=undefined
21 / 6  ,ESFP,7w8,Thumper,   Bambi (1942),https://www.personality-database.com/profile_images/28626.png?=undefined
21 / 3  ,ESFP,2w1,Amanda Kirby,   Jurassic Park / Jurassic World,https://www.personality-database.com/profile_images/2478.png?=undefined
21 / 13  ,ESFP,7w6,Gary Granger,   The Addams Family,https://www.personality-database.com/profile_images/85143.png?=undefined
21 / 6  ,ESFP,2w3,Alex Stewart,"   Love, Rosie (2014)",https://www.personality-database.com/profile_images/19819.png?=undefined
21 / 5  ,ESFP,7w8,Hudson,   Alien,https://www.personality-database.com/profile_images/24104.png?=undefined
21 / 5  ,ESFP,7w8,Jenko,   21 Jump Street (2012),https://www.personality-database.com/profile_images/22854.png?=undefined
20 / 11  ,ESFP,3w4,Jenna Walton,   Lady Bird (2017),https://www.personality-database.com/profile_images/95669.png?=undefined
20 / 12  ,ESFP,7w6,Becky Martin-Granger,   The Addams Family,https://www.personality-database.com/profile_images/85144.png?=undefined
20 / 13  ,ESFP,7w8,James Carter,   Rush Hour (1998),https://www.personality-database.com/profile_images/46194.png?=undefined
20 / 2  ,ESFP,2w3,Alma Elson,   Phantom Thread (2017),https://www.personality-database.com/profile_images/18444.png?=undefined
20 / 6  ,ESFP,7w6,Prince Edward,   Enchanted (2007),https://www.personality-database.com/profile_images/35274.png?=undefined
20 / 6  ,ESFP,2w3,Tiffany,   Chucky,https://www.personality-database.com/profile_images/7430.png?=undefined
20 / 9  ,ESFP,3w4,Christian,   Clueless (1995),https://www.personality-database.com/profile_images/70570.png?=undefined
20 / 13  ,ESFP,7w6,Mini-Me,   Austin Powers,https://www.personality-database.com/profile_images/5735.png?=undefined
19 / 8  ,ESFP,7w8,Stu Macher,   Scream movies,https://www.personality-database.com/profile_images/25282.png?=undefined
19 / 6  ,ESFP,7w8,Mochi,   Big Hero 6 (2014),https://www.personality-database.com/profile_images/34462.png?=undefined
19 / 12  ,ESFP,3w2,Glimmer,   The Hunger Games,https://www.personality-database.com/profile_images/77465.png?=undefined
19 / 6  ,ESFP,7w8,Mochi,   Big Hero 6 (2014),https://www.personality-database.com/profile_images/34462.png?=undefined
18 / 5  ,ESFP,2w3,Lafawnduh,   Napoleon Dynamite (2004),https://www.personality-database.com/profile_images/19350.png?=undefined
18 / 5  ,ESFP,9w1,Kim Mills,   Taken,https://www.personality-database.com/profile_images/7458.png?=undefined
18 / 11  ,ESFP,6w7,Princess Su,   Mulan (1998),https://www.personality-database.com/profile_images/105966.png?=undefined
18 / 5  ,ESFP,7w6,Volstagg,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/17369.png?=undefined
18 / 8  ,ESFP,9w8,Cousin It,   The Addams Family,https://www.personality-database.com/profile_images/126602.png?=undefined
18 / 8  ,ESFP,7w6,Roger Rabbit,   Who Framed Roger Rabbit,https://www.personality-database.com/profile_images/82627.png?=undefined
18 / 8  ,ESFP,3w2,Gazelle,   Zootopia (2016),https://www.personality-database.com/profile_images/106101.png?=undefined
17 / 7  ,ESFP,7w6,Anna Coleman,   Freaky Friday (2003),https://www.personality-database.com/profile_images/46996.png?=undefined
17 / 7  ,ESFP,4w3,Marianne Dashwood,   Sense and Sensibility (1995),https://www.personality-database.com/profile_images/21439.png?=undefined
17 / 2  ,ESFP,7w6,Lucy Westenra,   Bram Stoker's Dracula (1992),https://www.personality-database.com/profile_images/18759.png?=undefined
17 / 7  ,ESFP,7w6,Chaca,   The Emperor's New Groove (2000),https://www.personality-database.com/profile_images/13890.png?=undefined
17 / 7  ,ESFP,7w6,Anna Coleman,   Freaky Friday (2003),https://www.personality-database.com/profile_images/46996.png?=undefined
17 / 6  ,ESFP,7w6,Victor Zsasz,   DC Extended Universe,https://www.personality-database.com/profile_images/63435.png?=undefined
17 / 3  ,ESFP,3w4,Niffler,   Fantastic Beasts,https://www.personality-database.com/profile_images/19455.png?=undefined
17 / 3  ,ESFP,7w8,"John Allerdyce ""Pyro""",   X-Men Cinematic Universe (2000-2009),https://www.personality-database.com/images/profile_transparent.png
17 / 6  ,ESFP,7w8,Zero,   John Wick,https://www.personality-database.com/profile_images/36205.png?=undefined
17 / 9  ,ESFP,7w8,Cody Maverick,   Surf’s Up (2007),https://www.personality-database.com/profile_images/31311.png?=undefined
16 / 5  ,ESFP,7w6,Julia De Fiore,   Uncut Gems (2019),https://www.personality-database.com/images/profile_transparent.png
16 / 6  ,ESFP,9w8,Fred Fenster,   The Usual Suspects (1995),https://www.personality-database.com/profile_images/42049.png?=undefined
16 / 10  ,ESFP,7w6,Bunny Lebowski,   The Big Lebowski (1998),https://www.personality-database.com/profile_images/101368.png?=undefined
16 / 8  ,ESFP,7w8,Annika,   Barbie and the Magic of Pegasus (2005),https://www.personality-database.com/profile_images/111942.png?=undefined
16 / 5  ,ESFP,7w6,Julia De Fiore,   Uncut Gems (2019),https://www.personality-database.com/images/profile_transparent.png
16 / 4  ,ESFP,8w9,Jannah,   Star Wars,https://www.personality-database.com/profile_images/75790.png?=undefined
16 / 3  ,ESFP,7w8,Spot,   The Good Dinosaur (2015),https://www.personality-database.com/profile_images/29068.png?=undefined
16 / 8  ,ESFP,7w6,Sabina Wilson,   Charlie's Angels (2019),https://www.personality-database.com/profile_images/83020.png?=undefined
16 / 1  ,ESFP,7w6,Madison,   Zombieland,https://www.personality-database.com/profile_images/79596.png?=undefined
16 / 4  ,ESFP,4w3,Ramone,   Cars (Franchise),https://www.personality-database.com/profile_images/34720.png?=undefined
15 / 5  ,ESFP,7w6,Master of Laketown,   The Hobbit,https://www.personality-database.com/profile_images/17942.png?=undefined
15 / 5  ,ESFP,7w6,Gil,   Descendants,https://www.personality-database.com/profile_images/63854.png?=undefined
15 / 7  ,ESFP,7w8,Scamp,   Lady and the Tramp (1955),https://www.personality-database.com/profile_images/7825.png?=undefined
15 / 4  ,ESFP,3w4,Glen Lantz,   A Nightmare on Elm Street (1984),https://www.personality-database.com/profile_images/13049.png?=undefined
15 / 3  ,ESFP,7w6,İnek Şaban,   Hababam Sınıfı (1975),https://www.personality-database.com/profile_images/63499.png?=undefined
15 / 5  ,ESFP,7w6,Master of Laketown,   The Hobbit,https://www.personality-database.com/profile_images/17942.png?=undefined
15 / 4  ,ESFP,3w4,Percy Wetmore,   The Green Mile (1999),https://www.personality-database.com/images/profile_transparent.png
14 / 4  ,ESFP,7w8,Otis,   Barnyard (2006),https://www.personality-database.com/profile_images/68504.png?=undefined
14 / 7  ,ESFP,3w4,Dry Eye,   The Gentlemen (2019),https://www.personality-database.com/profile_images/94433.png?=undefined
14 / 7  ,ESFP,3w2,Courtney Babcock,   ParaNorman (2012),https://www.personality-database.com/profile_images/16856.png?=undefined
14 / 5  ,ESFP,7w8,Dante,   Coco (2017),https://www.personality-database.com/profile_images/43877.png?=undefined
14 / 7  ,ESFP,2w3,Tina Carlyle,   The Mask (1994),https://www.personality-database.com/profile_images/20760.png?=undefined
14 / 7  ,ESFP,3w2,Courtney Babcock,   ParaNorman (2012),https://www.personality-database.com/profile_images/16856.png?=undefined
14 / 4  ,ESFP,7w8,Otis,   Barnyard (2006),https://www.personality-database.com/profile_images/68504.png?=undefined
14 / 5  ,ESFP,2w3,Peter Clamenza,   The Godfather,https://www.personality-database.com/profile_images/72752.png?=undefined
14 / 11  ,ESFP,6w7,Marcus Burnett,   Bad Boys,https://www.personality-database.com/profile_images/89552.png?=undefined
14 / 4  ,ESFP,7w6,Chin,   Over the Moon (2020),https://www.personality-database.com/profile_images/152298.png?=undefined
14 / 5  ,ESFP,7w8,Dante,   Coco (2017),https://www.personality-database.com/profile_images/43877.png?=undefined
14 / 7  ,ESFP,7w6,Marlon,   The Truman Show (1998),https://www.personality-database.com/profile_images/9462.png?=undefined
14 / 3  ,ESFP,,Michael Banks,   Mary Poppins (1964),https://www.personality-database.com/profile_images/36742.png?=undefined
14 / 7  ,ESFP,3w4,Dry Eye,   The Gentlemen (2019),https://www.personality-database.com/profile_images/94433.png?=undefined
13 / 8  ,ESFP,7w8,Tony Pro,   The Irishman (2019),https://www.personality-database.com/profile_images/72651.png?=undefined
13 / 13  ,ESFP,5w6,Scarlett Witch,   Dr. Strange (1978),https://www.personality-database.com/profile_images/133166.png?=undefined
13 / 2  ,ESFP,,Patrick Chandler,   Manchester by the Sea (2016),https://www.personality-database.com/images/profile_transparent.png
13 / 9  ,ESFP,7w6,Hammy,   Over The Hedge (2006),https://www.personality-database.com/profile_images/55804.png?=undefined
13 / 8  ,ESFP,2w3,Becca,   Superbad (2007),https://www.personality-database.com/profile_images/23672.png?=undefined
13 / 5  ,ESFP,7w8,Billy Madison,   Billy Madison (1995),https://www.personality-database.com/images/profile_transparent.png
13 / 8  ,ESFP,7w8,Gary King (The World's End),   The Cornetto Trilogy,https://www.personality-database.com/profile_images/19593.png?=undefined
13 / 2  ,ESFP,,Mary Ann Lomax,   The Devil's Advocate (1997),https://www.personality-database.com/profile_images/17068.png?=undefined
13 / 7  ,ESFP,7w8,Baharat,   The Platform / El Hoyo (2020),https://www.personality-database.com/profile_images/109938.png?=undefined
13 / 4  ,ESFP,9w8,Pumbaa,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
13 / 5  ,ESFP,7w8,Billy Madison,   Billy Madison (1995),https://www.personality-database.com/images/profile_transparent.png
13 / 7  ,ESFP,7w8,Baharat,   The Platform / El Hoyo (2020),https://www.personality-database.com/profile_images/109938.png?=undefined
13 / 4  ,ESFP,9w8,Pumbaa,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
13 / 8  ,ESFP,7w8,Gary King (The World's End),   The Cornetto Trilogy,https://www.personality-database.com/profile_images/19593.png?=undefined
13 / 8  ,ESFP,7w8,Tony Pro,   The Irishman (2019),https://www.personality-database.com/profile_images/72651.png?=undefined
